RUN	botiqueClass.Boutiquee	boutiquee	1682420487814	test	3.9.0
REQUEST		To_Home	1682420488574	1682420488574	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488574
USER	Online Boutique Home Page	START	1682420488574
USER	Online Boutique Home Page	START	1682420488574
USER	Online Boutique Home Page	START	1682420488574
USER	Online Boutique Home Page	END	1682420488574
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
REQUEST		To_Home	1682420488575	1682420488575	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488575	1682420488575	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488575	1682420488575	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	START	1682420488575
USER	Online Boutique Home Page	START	1682420488575
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
USER	Online Boutique Home Page	END	1682420488575
REQUEST		To_Home	1682420488575	1682420488575	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488575	1682420488575	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488576
USER	Online Boutique Home Page	START	1682420488576
USER	Online Boutique Home Page	START	1682420488576
REQUEST		To_Home	1682420488575	1682420488575	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488576
USER	Online Boutique Home Page	END	1682420488576
USER	Online Boutique Home Page	END	1682420488576
USER	Online Boutique Home Page	START	1682420488576
USER	Online Boutique Home Page	END	1682420488576
USER	Online Boutique Home Page	START	1682420488576
REQUEST		To_Home	1682420488576	1682420488576	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488576	1682420488576	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488577
USER	Online Boutique Home Page	START	1682420488577
REQUEST		To_Home	1682420488577	1682420488577	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488577
REQUEST		To_Home	1682420488577	1682420488577	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488577
REQUEST		To_Home	1682420488577	1682420488577	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488577	1682420488577	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488577
USER	Online Boutique Home Page	START	1682420488577
REQUEST		To_Home	1682420488577	1682420488577	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488578
USER	Online Boutique Home Page	START	1682420488578
USER	Online Boutique Home Page	END	1682420488578
USER	Online Boutique Home Page	END	1682420488578
REQUEST		To_Home	1682420488578	1682420488578	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488578	1682420488578	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488578
USER	Online Boutique Home Page	END	1682420488578
USER	Online Boutique Home Page	START	1682420488578
USER	Online Boutique Home Page	START	1682420488578
USER	Online Boutique Home Page	END	1682420488578
USER	Online Boutique Home Page	END	1682420488578
USER	Online Boutique Home Page	END	1682420488578
USER	Online Boutique Home Page	END	1682420488578
REQUEST		To_Home	1682420488578	1682420488578	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488578
REQUEST		To_Home	1682420488579	1682420488579	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488579	1682420488579	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488579
USER	Online Boutique Home Page	START	1682420488579
REQUEST		To_Home	1682420488579	1682420488580	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488579	1682420488580	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488580
USER	Online Boutique Home Page	START	1682420488580
REQUEST		To_Home	1682420488580	1682420488581	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488580	1682420488581	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488581
USER	Online Boutique Home Page	START	1682420488581
REQUEST		To_Home	1682420488581	1682420488582	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488582
